user_id,date,steps,exercise_time,avg_heart_rate,max_heart_rate,sleep_duration,fatigue_level,relaxation_training,height,weight,age
1,2024-10-30,10421,55,76,102,5.2360484885003205,1.2,0,175,70,30
1,2024-10-29,7178,72,85,120,8.295303141567391,3.36,0,175,70,30
1,2024-10-28,11294,31,76,102,5.200467032514151,5.328,0,175,70,30
1,2024-10-27,9121,27,76,96,6.217749579604102,4.3344000000000005,0,175,70,30
1,2024-10-26,8535,78,75,109,7.9711090556469255,4.83312,0,175,70,30
1,2024-10-25,6167,33,85,115,8.78429496354045,4.283376,0,175,70,30
1,2024-10-24,11755,43,74,118,7.7491154694906825,1.1683248,0,175,70,30
1,2024-10-23,5465,30,72,107,5.300799430436318,8.578835040000001,1,175,70,30
1,2024-10-22,7888,22,72,112,5.330882631086025,8.690482992,1,175,70,30
1,2024-10-21,10112,42,81,106,5.80776412843664,4.6650284016,0,175,70,30
1,2024-10-20,11340,25,64,87,6.193119785906937,4.66855681968,0,175,70,30
1,2024-10-19,9551,57,86,133,8.213332034022304,1.0,0,175,70,30
1,2024-10-18,11223,20,66,109,5.078808444225299,4.966855681968,0,175,70,30
1,2024-10-17,9814,69,86,126,5.135683257353564,6.3900567045904,0,175,70,30
1,2024-10-16,9085,40,81,107,8.535155834309798,1.0,0,175,70,30
1,2024-10-15,11889,58,89,113,6.0805456871327355,1.0,0,175,70,30
1,2024-10-14,7130,58,86,124,7.516327878385599,1.6,0,175,70,30
1,2024-10-13,9530,40,75,119,8.699725733996388,1.0,0,175,70,30
1,2024-10-12,5142,57,73,111,8.431948644222487,1.6600000000000001,0,175,70,30
1,2024-10-11,6787,21,70,119,6.203186246119847,4.798,0,175,70,30
1,2024-10-10,6502,38,69,105,7.552719716120834,5.805400000000001,0,175,70,30
1,2024-10-09,7288,24,66,94,5.303727331896313,8.22142,1,175,70,30
1,2024-10-08,9114,28,82,116,5.808482511180598,7.246966,1,175,70,30
